Season,Lg,Tm,Unnamed: 3,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,NBA,DET,,82,-0.1%,-9.0%,-11.5%,+.014,-45.6%,-38.3%,-.033,-8.5%,-10.8%,+.013,-10.5%,-7.8%,-.022,-17.4%,-6.8%,-10.4%,-11.8%,-9.3%,24.5%,13.5%,12.0%,-9.5%
1979-80,NBA,DET,,82,0.0%,2.5%,1.8%,+.003,,,,0.9%,-0.9%,+.009,7.3%,4.8%,+.018,1.4%,-2.1%,-1.0%,5.0%,31.2%,-6.7%,-9.2%,-2.2%,4.0%
1978-79,NBA,DET,,82,-0.4%,1.8%,-1.1%,+.014,,,,1.8%,-1.1%,+.014,4.2%,5.4%,-.009,4.6%,5.4%,5.1%,4.4%,-26.2%,27.6%,1.5%,-8.3%,2.3%
1977-78,NBA,DET,,82,0.6%,3.6%,2.2%,+.006,,,,3.6%,2.2%,+.006,-14.0%,-14.4%,+.003,-5.5%,-5.4%,-5.5%,7.8%,13.7%,3.7%,-6.0%,14.3%,-0.2%
1976-77,NBA,DET,,82,-0.3%,2.0%,0.8%,+.005,,,,2.0%,0.8%,+.005,13.2%,15.0%,-.012,8.1%,-2.0%,1.2%,-3.1%,9.5%,-12.8%,9.4%,-4.5%,4.2%
1975-76,NBA,DET,,82,0.4%,2.4%,3.1%,-.003,,,,2.4%,3.1%,-.003,21.1%,23.3%,-.014,10.3%,5.5%,7.0%,0.1%,9.2%,42.8%,9.7%,2.1%,5.6%
1974-75,NBA,DET,,82,-0.3%,1.0%,-3.2%,+.020,,,,1.0%,-3.2%,+.020,-4.4%,-7.2%,+.023,-5.9%,-3.1%,-4.0%,1.6%,-14.1%,-25.4%,-16.4%,-6.1%,0.0%
1973-74,NBA,DET,,82,-0.1%,-11.2%,-7.0%,-.021,,,,-11.2%,-7.0%,-.021,4.0%,3.8%,+.002,,,-5.3%,-12.5%,,,6.5%,5.6%,-8.8%
1972-73,NBA,DET,,82,-0.1%,-0.5%,-0.5%,+.000,,,,-0.5%,-0.5%,+.000,-23.8%,-24.7%,+.009,,,-8.2%,2.2%,,,4.1%,-2.1%,-5.1%
1971-72,NBA,DET,,82,-0.3%,8.4%,5.1%,+.014,,,,8.4%,5.1%,+.014,-8.7%,-8.5%,-.002,,,2.0%,15.8%,,,-10.4%,-7.5%,4.6%
1970-71,NBA,DET,,82,0.0%,,,,,,,,,,,,,,,,,,,,,-4.5%
1969-70,NBA,DET,,82,0.5%,,,,,,,,,,,,,,,,,,,,,-1.0%
1968-69,NBA,DET,,82,-0.1%,,,,,,,,,,,,,,,,,,,,,-2.7%
1967-68,NBA,DET,,82,1.0%,,,,,,,,,,,,,,,,,,,,,4.5%
1966-67,NBA,DET,,81,2.0%,,,,,,,,,,,,,,,,,,,,,1.0%
1965-66,NBA,DET,,80,-0.6%,,,,,,,,,,,,,,,,,,,,,4.7%
Season,Lg,Tm,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,NBA,DET,,80,,,,,,,,,,,,,,,,,,,,,,-3.1%
1963-64,NBA,DET,,80,,,,,,,,,,,,,,,,,,,,,,-1.8%
1962-63,NBA,DET,,80,,,,,,,,,,,,,,,,,,,,,,0.4%
1961-62,NBA,DET,,80,,,,,,,,,,,,,,,,,,,,,,-2.0%
1960-61,NBA,DET,,79,,,,,,,,,,,,,,,,,,,,,,10.8%
1959-60,NBA,DET,,75,,,,,,,,,,,,,,,,,,,,,,12.6%
