Season,Lg,Tm,Unnamed: 3,Age,Ht.,Wt.,Unnamed: 7,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,DET,,-2.2%,0.0%,4.4%,,82,0.0%,-3.4%,-5.5%,+.010,38.0%,34.1%,+.010,-8.7%,-12.4%,+.020,14.8%,13.2%,+.011,-6.7%,-5.0%,-5.5%,5.9%,17.1%,35.9%,6.6%,11.2%,1.3%
1993-94,NBA,DET,,-8.0%,0.8%,-1.0%,,82,-0.3%,-3.0%,-2.7%,-.001,22.6%,14.6%,+.022,-5.5%,-5.2%,-.002,-12.1%,-12.4%,+.002,-20.6%,0.2%,-7.2%,-9.0%,3.8%,24.1%,7.3%,10.8%,-3.7%
1992-93,NBA,DET,,-0.7%,-0.1%,0.0%,,82,0.0%,2.4%,5.0%,-.012,77.0%,72.6%,+.008,-1.7%,-0.6%,-.005,-8.9%,-7.2%,-.014,6.9%,-4.4%,-0.6%,2.2%,6.2%,-30.3%,-5.0%,6.1%,1.7%
1991-92,NBA,DET,,-1.3%,-0.5%,-2.3%,,82,-0.1%,-0.1%,-0.1%,+.000,26.0%,19.5%,+.016,-1.2%,-1.5%,+.001,-7.1%,-4.7%,-.020,0.3%,-1.3%,-0.7%,4.1%,12.1%,-2.7%,2.6%,-11.9%,-1.1%
1990-91,NBA,DET,,3.4%,0.1%,0.5%,,82,0.0%,-4.2%,-1.5%,-.013,-26.0%,-18.7%,-.029,-2.9%,-0.1%,-.014,-1.6%,-1.8%,+.002,1.8%,-0.2%,0.4%,-8.6%,-4.9%,-12.2%,-4.2%,-4.7%,-4.1%
1989-90,NBA,DET,,3.1%,0.4%,0.0%,,82,-0.1%,-1.8%,1.5%,-.016,47.5%,35.2%,+.027,-3.6%,-0.6%,-.015,-6.4%,-5.3%,-.009,2.7%,-3.5%,-1.5%,-1.5%,-1.9%,3.0%,-7.7%,1.1%,-2.1%
1988-89,NBA,DET,,4.4%,-0.1%,0.0%,,82,0.3%,-1.9%,-2.0%,+.000,106.9%,98.0%,+.013,-3.8%,-4.9%,+.006,-7.4%,-8.9%,+.012,-2.3%,2.6%,1.0%,0.8%,-11.2%,3.0%,-0.9%,-0.9%,-2.4%
1987-88,NBA,DET,,2.6%,0.1%,0.5%,,82,-0.3%,-2.3%,-3.0%,+.003,48.7%,19.5%,+.056,-2.9%,-3.6%,+.003,-0.7%,0.4%,-.008,-5.1%,-6.3%,-5.9%,-0.5%,-8.6%,-9.6%,-4.9%,-5.8%,-1.8%
1986-87,NBA,DET,,0.8%,-0.1%,-0.9%,,82,0.3%,-5.6%,-6.6%,+.005,-29.1%,-7.1%,-.071,-5.2%,-6.6%,+.007,10.6%,13.1%,-.017,-2.4%,7.6%,4.2%,-12.9%,-12.9%,28.2%,5.5%,-1.1%,-2.6%
1985-86,NBA,DET,,-1.5%,0.0%,0.9%,,82,-0.3%,-2.2%,-3.1%,+.004,22.2%,-8.5%,+.076,-2.5%,-3.0%,+.002,1.0%,1.7%,-.006,-9.1%,-2.9%,-5.1%,0.7%,6.8%,-14.4%,0.1%,1.2%,-1.5%
Season,Lg,Tm,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,NBA,DET,,5.9%,0.1%,0.0%,,82,-0.4%,1.1%,1.1%,-.000,40.6%,41.1%,-.001,0.8%,0.4%,+.002,-9.7%,-11.2%,+.013,-1.7%,4.1%,2.0%,2.0%,-0.9%,-4.8%,2.4%,-4.6%,-1.0%
1983-84,NBA,DET,,3.3%,0.1%,0.0%,,82,0.1%,4.8%,4.1%,+.004,-55.6%,-48.2%,-.038,6.1%,6.0%,+.000,2.8%,-1.6%,+.033,8.8%,-1.7%,1.9%,7.0%,2.7%,-27.1%,-15.9%,2.6%,3.9%
1982-83,NBA,DET,,0.8%,-0.3%,0.0%,,82,0.3%,1.7%,2.9%,-.005,38.5%,27.7%,+.021,1.2%,2.1%,-.004,-0.9%,0.3%,-.009,1.1%,5.6%,4.0%,4.0%,-8.4%,1.4%,-4.4%,-1.8%,1.4%
1981-82,NBA,DET,,0.4%,-0.4%,1.9%,,82,0.4%,10.0%,5.8%,+.019,300.0%,153.6%,+.089,8.9%,4.0%,+.022,14.7%,10.8%,+.026,8.1%,11.1%,10.0%,11.4%,-16.2%,14.6%,-7.4%,1.6%,11.5%
1980-81,NBA,DET,,-1.6%,0.4%,1.0%,,82,-0.1%,-11.2%,-8.0%,-.016,-77.2%,-61.6%,-.106,-10.1%,-6.4%,-.019,6.2%,8.4%,-.015,-2.0%,-12.6%,-9.0%,-6.7%,12.9%,-12.5%,1.0%,2.7%,-8.5%
1979-80,NBA,DET,,-2.8%,0.4%,-0.5%,,82,0.0%,-1.8%,-2.6%,+.004,,,,-3.3%,-5.4%,+.011,-1.1%,-4.1%,+.023,-5.9%,1.5%,-1.1%,-6.8%,-7.6%,2.2%,8.9%,-3.4%,-1.0%
1978-79,NBA,DET,,-1.9%,-0.3%,-1.4%,,82,-0.4%,4.4%,5.1%,-.003,,,,4.4%,5.1%,-.003,-12.3%,-10.0%,-.019,6.0%,-8.5%,-3.8%,13.7%,-2.2%,66.7%,-13.9%,8.1%,1.0%
1977-78,NBA,DET,,0.4%,0.3%,1.0%,,82,0.6%,-5.6%,-4.7%,-.005,,,,-5.6%,-4.7%,-.005,27.0%,27.0%,+.000,5.1%,4.2%,4.5%,-8.2%,-1.3%,-28.1%,8.1%,-10.0%,-0.4%
1976-77,NBA,DET,,0.0%,0.5%,0.0%,,82,-0.3%,6.8%,2.6%,+.019,,,,6.8%,2.6%,+.019,-7.4%,-4.3%,-.024,-3.0%,-2.0%,-2.3%,14.4%,11.6%,38.3%,6.1%,5.5%,4.2%
